Id,elementId,Day,Hour,Action,,Id,elementId,Day,Hour,Action,,Id,elementId,Day,Hour,Action,,Id,elementId,Day,Hour,Action
3,1,1,1900,1,,13,1,2,1900,1,,23,1,3,1900,1,,33,1,4,1800,1
7,1,1,2310,0,,17,1,2,2310,0,,27,1,3,2310,0,,37,1,4,2310,0
69,1,1,1900,1,,79,1,2,1900,1,,89,1,3,1900,1,,99,1,4,1800,1
73,1,1,2310,0,,83,1,2,2310,0,,93,1,3,2310,0,,103,1,4,2310,0
135,1,1,1900,1,,145,1,2,1900,1,,155,1,3,1900,1,,165,1,4,1800,1
139,1,1,2310,0,,149,1,2,2310,0,,159,1,3,2310,0,,169,1,4,2310,0
201,1,1,1900,1,,211,1,2,1900,1,,221,1,3,1900,1,,231,1,4,1800,1
205,1,1,2310,0,,215,1,2,2310,0,,225,1,3,2310,0,,235,1,4,2310,0
,,,,,,,,,,,,,,,,,,,,,,
Id,elementId,Day,Hour,Action,,Id,elementId,Day,Hour,Action,,Id,elementId,Day,Hour,Action,,,,,,
43,1,5,1700,1,,53,1,6,1007,1,,61,1,7,1900,1,,,,,,
47,1,5,2310,0,,57,1,6,2335,0,,63,1,7,2303,0,,,,,,
109,1,5,1700,1,,119,1,6,1007,1,,127,1,7,1900,1,,,,,,
113,1,5,2310,0,,123,1,6,2335,0,,129,1,7,2303,0,,,,,,
175,1,5,1700,1,,185,1,6,1007,1,,193,1,7,1900,1,,,,,,
179,1,5,2310,0,,189,1,6,2335,0,,195,1,7,2303,0,,,,,,
241,1,5,1700,1,,251,1,6,1007,1,,259,1,7,1900,1,,,,,,
245,1,5,2310,0,,255,1,6,2335,0,,261,1,7,2303,0,,,,,,
